Junk,11111111,Junk A,10,2,3,3,3,2,2,1,2,4,1,2,3,4,3,5,1,1,2,9,3,10,4,9,7,5,6,4,4,3,3,2,4,4,5,5,6,7,7,6,7,8,8,9,9,10,10,9,9,07860,,Cholesterol
Junk,11111111,Junk A,20,7,8,8,3,3,4,4,4,3,6,6,5,5,4,5,6,6,7,8,8,7,6,5,4,10,11,10,10,9,8,8,8,7,6,6,5,5,4,5,6,6,7,8,8,7,6,5,4,07860,,Cholesterol
Junk,11111111,Junk A,30,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,2,1,0,1,1,1,1,0,2,07860,,Cholesterol
Junk,11111111,Junk A,40,2,1,1,2,1,2,2,0,0,1,1,0,1,1,1,1,0,0,0,2,3,1,1,1,2,1,1,2,1,2,2,0,0,1,1,0,1,1,2,1,0,0,0,2,3,2,1,1,07860,,Cholesterol
Junk,11111111,Junk A,50,1,0,0,0,1,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,2,07860,,Restless Leg Syndrome
Junk,11111111,Junk A,60,1,0,2,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,0,0,0,1,1,07860,,Restless Leg Syndrome
Junk,11111111,Junk A,70,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,3,3,4,4,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,2,2,3,3,4,4,07860,,Restless Leg Syndrome
Junk,11111111,Junk A,80,8,7,7,7,7,7,8,6,6,6,7,6,5,4,5,5,4,4,3,2,1,0,0,0,9,7,8,8,8,8,9,8,8,8,7,6,5,4,5,5,4,4,3,2,1,0,0,0,07860,,Restless Leg Syndrome
Junk,11111111,Junk A,90,2,2,3,2,2,3,2,3,4,5,5,5,5,4,3,4,5,6,7,8,8,7,6,5,2,2,3,2,2,3,2,3,4,5,5,5,5,4,3,4,5,6,7,8,8,7,6,5,07860,,Restless Leg Syndrome
Junk,22222222,Junk A,10,6,7,5,5,4,4,3,5,5,6,6,7,8,8,7,8,9,9,10,10,11,11,10,10,6,7,5,5,4,4,3,5,5,6,6,7,8,8,7,8,9,9,10,10,11,11,10,10,07860,,Cholesterol
Junk,22222222,Junk A,20,8,8,7,7,6,5,5,6,5,4,4,3,3,2,3,3,4,5,5,5,5,4,3,2,8,9,8,8,7,6,6,6,5,4,4,3,3,2,3,4,4,5,6,6,5,4,3,2,07860,,Cholesterol
Junk,22222222,Junk A,30,3,3,3,3,4,3,3,2,2,2,2,2,3,3,3,4,3,2,3,3,3,3,2,4,3,3,3,3,4,3,3,2,2,2,2,2,3,3,3,4,3,2,3,3,3,3,2,4,07860,,Cholesterol
Junk,22222222,Junk A,40,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,07860,,Cholesterol
Junk,22222222,Junk A,50,1,0,0,0,1,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,2,2,2,1,1,2,2,1,1,0,0,0,0,0,0,1,1,1,2,07860,,Restless Leg Syndrome
Junk,22222222,Junk A,60,1,0,2,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,0,0,1,2,1,1,1,1,0,0,0,1,1,07860,,Restless Leg Syndrome
Junk,22222222,Junk A,70,0,0,0,0,1,1,1,1,2,2,3,3,3,2,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,2,2,3,3,3,2,2,2,1,1,0,0,0,0,1,1,07860,,Restless Leg Syndrome
Junk,22222222,Junk A,80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,07860,,Restless Leg Syndrome
Junk,22222222,Junk A,90,8,6,7,7,7,7,8,7,7,7,6,5,4,3,4,4,3,3,2,1,2,2,2,2,8,6,7,7,7,7,8,7,7,7,6,5,4,3,4,4,3,3,2,1,2,2,2,2,07860,,Restless Leg Syndrome
